127.0.0.1 - - [15/Oct/2021:05:15:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:15:53 +0900] "GET /LAB6_2/notice.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:15:53 +0900] "GET /LAB6_2/image/congrats.png HTTP/1.1" 200 229414
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:15:53 +0900] "GET /LAB6_2/image/background.jpg HTTP/1.1" 200 68756
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:18:55 +0900] "GET /LAB6_2/LAB6_2.jsp HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:18:55 +0900] "GET /LAB6_2/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:18:55 +0900] "GET /LAB6_2/image/congrats.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:19:32 +0900] "GET /LAB6_2/LAB6_2.jsp HTTP/1.1" 500 2311
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:19:46 +0900] "GET /LAB6_2/LAB6_2.jsp HTTP/1.1" 500 2311
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:19:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:22:32 +0900] "GET /LAB6_2/LAB6_2.jsp HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:22:32 +0900] "GET /LAB6_2/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:22:32 +0900] "GET /LAB6_2/image/congrats.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:22:49 +0900] "GET /LAB6_2/LAB6_2.jsp HTTP/1.1" 500 2311
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:25:55 +0900] "GET /LAB6_2/LAB6_2.jsp HTTP/1.1" 500 701
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:25:55 +0900] "GET /LAB6_2/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:25:55 +0900] "GET /LAB6_2/image/congrats.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:26:04 +0900] "GET /LAB6_2/LAB6_2.jsp HTTP/1.1" 500 701
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:26:04 +0900] "GET /LAB6_2/image/background.jpg HTTP/1.1" 200 68756
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:26:04 +0900] "GET /LAB6_2/image/congrats.png HTTP/1.1" 200 229414
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:26:28 +0900] "GET /LAB6_2/LAB6_2.jsp HTTP/1.1" 500 701
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:26:28 +0900] "GET /LAB6_2/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:26:28 +0900] "GET /LAB6_2/image/congrats.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:27:33 +0900] "GET /LAB6_2/error.jsp HTTP/1.1" 500 701
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:27:33 +0900] "GET /LAB6_2/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:27:33 +0900] "GET /LAB6_2/image/congrats.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:27:39 +0900] "GET /LAB6_2/error.jsp HTTP/1.1" 500 701
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:27:39 +0900] "GET /LAB6_2/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:27:39 +0900] "GET /LAB6_2/image/congrats.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:27:54 +0900] "GET /LAB6_2/notice.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:27:54 +0900] "GET /LAB6_2/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:27:54 +0900] "GET /LAB6_2/image/congrats.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:05:28:26 +0900] "GET /LAB6_2/LAB6_2.jsp HTTP/1.1" 200 1017
