127.0.0.1 - - [24/Oct/2021:18:33:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:33:27 +0900] "GET /LAB5_5/LAB5_5.jsp HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:33:27 +0900] "GET /LAB5_5/image/smile.jpg HTTP/1.1" 200 23644
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:33:27 +0900] "GET /LAB5_5/image/star.jpg HTTP/1.1" 200 24560
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:33:27 +0900] "GET /LAB5_5/image/heart.jpg HTTP/1.1" 200 13060
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:33:27 +0900] "GET /LAB5_5/image/clover.jpg HTTP/1.1" 200 12686
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:33:27 +0900] "GET /LAB5_5/image/sad.jpg HTTP/1.1" 200 23602
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:38:33 +0900] "GET /LAB7_1/include_action.jsp HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:38:39 +0900] "GET /LAB7_1/include_action.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:42:50 +0900] "GET /LAB7_1/include_action.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:43:54 +0900] "GET /LAB7_1/include_action.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:50:30 +0900] "GET /LAB7_1/include_action.jsp HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:50:37 +0900] "GET /LAB7_1/include_action.jsp HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:51:08 +0900] "GET /LAB7_1/include_action.jsp HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:54:13 +0900] "GET /LAB7_1/include_action.jsp HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:55:04 +0900] "GET /LAB7_1/greeting.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:55:15 +0900] "GET /LAB7_1/greeting.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [24/Oct/2021:18:55:33 +0900] "GET /LAB7_1/include_action.jsp HTTP/1.1" 200 619
