0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:23:17 +0900] "GET /LAB9/LAB9_0/image/calculator.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:23:30 +0900] "GET /LAB9/LAB9_0/calc.jsp HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:23:30 +0900] "GET /LAB9/LAB9_0/image/calculator.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:23:43 +0900] "GET /LAB9/LAB9_0/calc.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:23:43 +0900] "GET /LAB9/LAB9_0/image/calculator.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:24:36 +0900] "GET /LAB9/LAB9_0/calc.jsp HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:24:36 +0900] "GET /LAB9/LAB9_0/image/calculator.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:24:43 +0900] "POST /LAB9/LAB9_0/calc.jsp HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:24:43 +0900] "GET /LAB9/LAB9_0/image/calculator.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:36:40 +0900] "GET /LAB9/LAB9_1/session_01.jsp HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:36:56 +0900] "GET /LAB9/LAB9_1/session_01.jsp HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:37:04 +0900] "GET /LAB9/LAB9_1/session_01.jsp HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:37:22 +0900] "GET /LAB9/LAB9_1/session_01.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:43:05 +0900] "GET /LAB9/LAB9_1/session_01.jsp HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:43:13 +0900] "POST /LAB9/LAB9_1/session_02.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:45:34 +0900] "GET /LAB9/LAB9_1/session_01.jsp HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:45:44 +0900] "GET /LAB9/LAB9_1/session_01.jsp HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:45:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:45:50 +0900] "POST /LAB9/LAB9_1/session_02.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:48:49 +0900] "GET /LAB9/LAB9_1/session_02.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:48:58 +0900] "GET /LAB9/LAB9_1/session_02.jsp HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:49:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:51:15 +0900] "GET /LAB9/LAB9_1/session_02.jsp HTTP/1.1" 200 316
